,current_sub
0,755
1,822
2,775
3,839
4,811
5,853
6,836
7,839
8,815
9,841
10,799
11,765
12,701
13,688
14,597
15,586
16,488
17,573
18,551
19,624
20,631
21,735
22,695
23,736
24,712
25,764
26,752
27,817
28,844
29,875
30,842
31,904
32,847
33,831
34,778
35,753
36,696
37,684
38,645
39,634
40,556
41,576
42,597
43,639
44,615
45,661
46,620
47,696
48,674
49,748
50,763
51,823
52,884
53,930
54,919
55,872
56,830
57,790
58,759
59,761
60,727
61,713
62,669
63,683
64,664
65,632
66,556
67,561
68,573
69,588
70,590
71,669
72,691
73,764
74,788
75,876
76,859
77,863
78,843
79,835
80,814
81,811
82,826
83,778
84,781
85,757
86,778
87,723
88,643
89,587
90,538
91,541
92,562
93,587
94,595
95,675
96,751
97,787
98,792
99,766
100,784
101,805
102,868
103,840
104,844
105,819
106,857
107,840
108,845
109,764
110,750
111,664
112,674
113,589
114,578
115,537
116,558
117,580
118,649
119,702
120,703
121,684
122,723
123,745
124,772
125,794
126,871
127,845
128,911
129,858
130,909
131,843
132,802
133,734
134,751
135,694
136,682
137,597
138,616
139,580
140,624
141,587
142,623
143,598
144,652
145,628
146,703
147,722
148,763
149,776
150,878
151,905
152,948
153,856
154,868
155,796
156,840
157,713
158,742
159,704
160,751
161,677
162,717
163,638
164,596
165,522
166,547
167,581
168,618
169,590
170,714
171,708
172,832
173,805
174,861
175,835
176,900
177,816
178,856
179,797
180,820
181,766
182,793
183,774
184,833
185,697
186,701
187,582
188,584
189,485
190,542
191,546
192,641
193,640
194,746
195,758
196,784
197,738
198,790
199,783
200,881
201,813
202,884
203,810
204,876
205,819
206,855
207,784
208,787
209,676
210,691
211,606
212,604
213,519
214,567
215,552
216,668
217,643
218,711
219,678
220,734
221,686
222,751
223,779
224,856
225,827
226,914
227,887
228,918
229,835
230,821
231,746
232,749
233,683
234,752
235,661
236,645
237,587
238,601
239,606
240,631
241,595
242,656
243,649
244,729
245,688
246,791
247,772
248,899
249,915
250,1010
251,950
252,898
253,846
254,830
255,811
256,819
257,802
258,814
259,802
260,801
261,729
262,667
263,599
264,632
265,639
266,694
267,736
268,763
269,793
270,847
271,921
272,936
273,930
274,946
275,944
276,908
277,908
278,893
279,919
280,841
281,929
282,891
283,914
284,776
285,736
286,659
287,655
288,612
289,652
290,667
291,745
292,793
293,879
294,821
295,874
296,773
297,875
298,877
299,947
300,912
301,936
302,918
303,977
304,906
305,886
306,831
307,833
308,785
309,798
310,683
311,702
312,640
313,713
314,752
315,834
316,791
317,846
318,867
319,911
320,911
321,957
322,1042
323,1105
324,1144
325,1182
326,1192
327,1093
328,1134
329,1088
330,1148
331,1081
332,1108
333,1058
334,1123
335,1035
336,1083
337,1065
338,1084
339,1087
340,1120
341,1141
342,1198
343,1199
344,1262
345,1302
346,1333
347,1460
348,1460
349,1484
350,1436
